,Vyhledávání,Vyhledávání,Vyhledávání,Přístupy,Přístupy,Přístupy,Statistiky přihlášování,Statistiky přihlášování,Statistiky přihlášování
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Listopad,0,4511,4511,0,2439,2439,0,245,245
Prosinec,0,3834,3834,0,1553,1553,0,251,251
Souhrnně celkem,0,8345,8345,0,3992,3992,0,496,496
