Den,Počet
1,351
2,251
3,139
4,232
5,65
6,90
7,163
8,101
9,221
10,200
11,123
12,57
13,55
14,184
15,102
16,211
17,37
18,181
19,41
20,12
21,144
22,88
23,63
24,18
25,135
26,47
27,97
28,177
29,82
30,110
31,57
