,Statistiky přihlášování 2019,Statistiky přihlášování 2019,Statistiky přihlášování 2019,Vyhledávání 2019,Vyhledávání 2019,Vyhledávání 2019,Přístupy 2019,Přístupy 2019,Přístupy 2019
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Leden,183,2927,3110,73,1040,1113,1,413,414
Únor,302,2446,2748,80,890,970,2,307,309
Březen,312,2984,3296,87,1069,1156,1,372,373
Duben,292,2105,2397,83,859,942,2,298,300
Květen,121,2232,2353,49,830,879,0,373,373
Červen,306,2824,3130,67,759,826,5,455,460
Červenec,291,3481,3772,79,902,981,3,427,430
Srpen,433,3470,3903,103,858,961,0,357,357
Září,348,3218,3566,88,961,1049,4,392,396
Říjen,251,2752,3003,73,842,915,7,406,413
Listopad,319,3188,3507,63,884,947,1,381,382
Prosinec,129,1936,2065,36,613,649,0,256,256
Souhrnně celkem,3287,33563,36850,881,10507,11388,26,4437,4463
