,Statistiky přihlášování 2016,Statistiky přihlášování 2016,Statistiky přihlášování 2016,Vyhledávání 2016,Vyhledávání 2016,Vyhledávání 2016,Přístupy 2016,Přístupy 2016,Přístupy 2016
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Leden,0,4442,4442,0,896,896,0,312,312
Únor,0,4442,4442,0,951,951,0,273,273
Březen,0,4577,4577,0,995,995,0,297,297
Duben,0,2849,2849,0,900,900,0,261,261
Květen,0,3004,3004,0,904,904,0,240,240
Červen,0,2998,2998,0,862,862,0,267,267
Červenec,0,3719,3719,0,944,944,0,256,256
Srpen,0,3473,3473,0,951,951,0,297,297
Září,0,3265,3265,1,1222,1223,0,292,292
Říjen,0,4005,4005,0,1507,1507,0,370,370
Listopad,0,3680,3680,0,1686,1686,0,329,329
Prosinec,0,2087,2087,0,1181,1181,0,243,243
Souhrnně celkem,0,42541,42541,1,12999,13000,0,3437,3437
