,Statistiky přihlášování 2017,Statistiky přihlášování 2017,Statistiky přihlášování 2017,Vyhledávání 2017,Vyhledávání 2017,Vyhledávání 2017,Přístupy 2017,Přístupy 2017,Přístupy 2017
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Leden,0,3793,3793,0,1796,1796,0,340,340
Únor,0,3134,3134,0,1535,1535,0,312,312
Březen,0,4648,4648,0,2038,2038,0,388,388
Duben,49,2373,2422,39,1185,1224,0,155,155
Květen,707,2979,3686,198,1268,1466,0,323,323
Červen,453,2743,3196,143,1046,1189,0,311,311
Červenec,428,2909,3337,133,1036,1169,0,292,292
Srpen,352,2280,2632,142,1084,1226,0,275,275
Září,692,3712,4404,181,4080,4261,0,287,287
Říjen,525,3277,3802,140,2387,2527,0,346,346
Listopad,939,2714,3653,186,888,1074,0,365,365
Prosinec,196,1594,1790,60,551,611,0,251,251
Souhrnně celkem,4341,36156,40497,1222,18894,20116,0,3645,3645
