Den,Počet
1,2
2,14
3,11
4,19
5,8
6,10
7,5
8,10
9,7
10,15
11,13
12,12
13,10
14,6
15,14
16,22
17,11
18,8
19,7
20,2
21,7
22,1
23,2
24,0
25,2
26,8
27,7
28,5
29,3
30,14
31,1
