Den,Počet
1,51
2,25
3,30
4,50
5,38
6,56
7,36
8,35
9,29
10,27
11,54
12,36
13,45
14,32
15,47
16,24
17,19
18,47
19,44
20,47
21,39
22,39
23,13
24,25
25,53
26,33
27,63
28,36
29,39
30,22
31,22
