Den,Počet
1,11
2,8
3,16
4,12
5,11
6,5
7,13
8,19
9,12
10,15
11,8
12,15
13,5
14,10
15,15
16,10
17,6
18,7
19,8
20,5
21,6
22,5
23,12
24,13
25,7
26,12
27,3
28,9
29,14
30,8
