Den,Počet
1,7
2,6
3,8
4,20
5,10
6,16
7,7
8,10
9,9
10,13
11,23
12,14
13,8
14,5
15,19
16,11
17,6
18,19
19,9
20,15
21,15
22,20
23,3
24,10
25,13
26,10
27,19
28,12
29,14
30,11
31,11
