Den,Počet
1,38
2,358
3,9
4,117
5,210
6,182
7,69
8,84
9,100
10,53
11,53
12,63
13,62
14,67
15,96
16,100
17,22
18,62
19,151
20,94
21,86
22,75
23,108
24,36
25,100
26,106
27,60
28,79
