Den,Počet
1,10
2,19
3,35
4,33
5,26
6,27
7,34
8,26
9,28
10,48
11,29
12,46
13,24
14,36
15,14
16,16
17,40
18,27
19,20
20,12
21,28
22,11
23,7
24,5
25,12
26,11
27,7
28,17
29,9
30,23
31,16
