Den,Počet
1,174
2,157
3,203
4,149
5,72
6,7
7,37
8,285
9,73
10,142
11,144
12,171
13,14
14,56
15,117
16,67
17,208
18,153
19,247
20,145
21,155
22,288
23,169
24,244
25,225
26,251
27,159
28,181
29,149
