Den,Počet
1,60
2,72
3,54
4,64
5,38
6,33
7,84
8,72
9,67
10,36
11,49
12,26
13,0
14,83
15,73
16,71
17,54
18,66
19,41
20,41
21,87
22,51
23,86
24,46
25,60
26,42
27,45
28,63
29,58
30,64
