Den,Počet
1,6
2,10
3,4
4,16
5,4
6,11
7,10
8,6
9,11
10,5
11,16
12,1
13,6
14,10
15,7
16,15
17,8
18,11
19,4
20,5
21,14
22,8
23,19
24,7
25,8
26,3
27,2
28,21
29,12
30,9
31,6
