Den,Počet
1,41
2,220
3,430
4,368
5,281
6,76
7,30
8,33
9,65
10,51
11,57
12,31
13,45
14,19
15,29
16,64
17,38
18,48
19,63
20,53
21,25
22,42
23,52
24,72
25,59
26,33
27,44
28,32
29,25
30,66
31,35
