Den,Počet
1,64
2,194
3,196
4,181
5,208
6,118
7,86
8,95
9,40
10,314
11,51
12,92
13,29
14,40
15,178
16,86
17,141
18,99
19,52
20,22
21,198
22,186
23,78
24,189
25,78
26,261
27,29
28,86
29,159
30,35
31,101
