Den,Počet
1,25
2,25
3,53
4,27
5,21
6,35
7,36
8,19
9,32
10,64
11,52
12,72
13,35
14,55
15,21
16,17
17,45
18,38
19,35
20,34
21,50
22,28
23,26
24,46
25,47
26,61
27,36
28,50
29,19
30,21
31,44
