Den,Počet
1,67
2,134
3,78
4,119
5,17
6,118
7,106
8,62
9,88
10,213
11,74
12,37
13,52
14,58
15,85
16,103
17,256
18,203
19,26
20,19
21,187
22,41
23,104
24,82
25,35
26,81
27,19
28,58
29,335
30,132
