Den,Počet
1,17
2,19
3,15
4,8
5,4
6,9
7,14
8,12
9,15
10,22
11,22
12,20
13,8
14,6
15,4
16,8
17,8
18,2
19,6
20,9
21,6
22,0
23,13
24,7
25,7
26,2
27,7
28,11
29,8
30,6
31,3
