Den,Počet
1,24
2,36
3,19
4,16
5,52
6,39
7,41
8,26
9,36
10,17
11,24
12,44
13,35
14,58
15,20
16,25
17,23
18,16
19,57
20,33
21,39
22,13
23,16
24,13
25,19
26,15
27,13
28,17
29,15
30,22
31,12
