Den,Počet
1,8
2,9
3,9
4,6
5,11
6,10
7,24
8,22
9,14
10,8
11,7
12,10
13,19
14,3
15,27
16,9
17,12
18,10
19,15
20,11
21,11
22,13
23,6
24,18
25,5
26,11
27,13
28,10
29,11
30,16
31,12
