Den,Počet
1,34
2,21
3,81
4,106
5,101
6,212
7,23
8,4
9,14
10,61
11,91
12,82
13,69
14,111
15,192
16,19
17,112
18,162
19,58
20,75
21,104
22,32
23,37
24,119
25,101
26,53
27,87
28,262
29,79
30,52
31,194
