Den,Počet
1,185
2,72
3,153
4,66
5,75
6,76
7,62
8,46
9,64
10,116
11,190
12,315
13,199
14,109
15,85
16,55
17,472
18,49
19,274
20,49
21,166
22,18
23,47
24,331
25,93
26,77
27,102
28,79
29,50
30,306
31,108
