Den,Počet
1,39
2,41
3,28
4,23
5,24
6,31
7,45
8,63
9,27
10,34
11,27
12,25
13,51
14,24
15,62
16,36
17,38
18,15
19,16
20,37
21,42
22,22
23,21
24,39
25,16
26,19
27,52
28,30
29,37
30,28
31,34
