Den,Počet
1,129
2,363
3,30
4,180
5,94
6,75
7,155
8,206
9,86
10,160
11,68
12,43
13,157
14,52
15,193
16,70
17,128
18,185
19,49
20,71
21,121
22,70
23,58
24,252
25,27
26,154
27,211
28,226
29,125
30,138
31,104
