Den,Počet
1,7
2,14
3,5
4,9
5,20
6,10
7,13
8,8
9,11
10,9
11,5
12,18
13,7
14,19
15,8
16,15
17,14
18,15
19,21
20,9
21,15
22,6
23,16
24,3
25,8
26,18
27,9
28,18
29,4
30,6
31,6
