Den,Počet
1,25
2,42
3,74
4,30
5,32
6,13
7,17
8,37
9,32
10,41
11,26
12,34
13,8
14,25
15,41
16,25
17,36
18,25
19,35
20,10
21,22
22,43
23,16
24,37
25,34
26,35
27,11
28,17
29,41
30,28
31,54
