Den,Počet
1,4
2,3
3,11
4,18
5,11
6,15
7,6
8,12
9,17
10,4
11,17
12,5
13,13
14,3
15,6
16,17
17,5
18,9
19,8
20,11
21,3
22,5
23,9
24,7
25,16
26,7
27,13
28,5
29,5
30,7
