Den,Počet
1,23
2,42
3,14
4,24
5,56
6,33
7,37
8,28
9,42
10,19
11,14
12,45
13,24
14,48
15,37
16,43
17,25
18,30
19,49
20,25
21,45
22,24
23,40
24,18
25,19
26,42
27,26
28,49
29,20
30,11
31,13
