Den,Počet
1,46
2,35
3,36
4,16
5,35
6,19
7,28
8,48
9,28
10,41
11,29
12,40
13,14
14,23
15,39
16,23
17,40
18,28
19,38
20,13
21,24
22,40
23,23
24,68
25,41
26,35
27,15
28,19
29,39
30,28
31,55
