Den,Počet
1,22
2,31
3,15
4,35
5,8
6,19
7,37
8,15
9,24
10,16
11,37
12,10
13,11
14,34
15,16
16,54
17,42
18,32
19,11
20,16
21,39
22,18
23,29
24,15
25,38
26,6
27,20
28,36
29,28
30,34
31,25
