Den,Počet
1,10
2,7
3,8
4,14
5,4
6,4
7,5
8,11
9,21
10,13
11,20
12,10
13,14
14,3
15,16
16,18
17,8
18,17
19,6
20,7
21,5
22,7
23,18
24,9
25,12
26,18
27,11
28,7
29,6
30,15
31,9
