Den,Počet
1,7
2,10
3,7
4,14
5,3
6,9
7,15
8,11
9,11
10,7
11,11
12,4
13,5
14,11
15,6
16,15
17,10
18,10
19,5
20,6
21,14
22,10
23,13
24,8
25,15
26,2
27,10
28,15
29,4
30,14
31,11
