Den,Počet
1,13
2,2
3,4
4,9
5,7
6,17
7,10
8,21
9,5
10,8
11,11
12,10
13,16
14,6
15,9
16,5
17,4
18,14
19,8
20,11
21,11
22,9
23,3
24,5
25,11
26,7
27,8
28,7
29,9
30,1
