Den,Počet
1,19
2,69
3,44
4,180
5,150
6,46
7,5
8,97
9,83
10,57
11,325
12,62
13,111
14,58
15,75
16,170
17,91
18,52
19,70
20,241
21,31
22,40
23,112
24,85
25,133
26,37
27,135
28,46
29,55
30,191
31,134
