Den,Počet
1,11
2,6
3,13
4,2
5,9
6,18
7,2
8,13
9,8
10,7
11,5
12,12
13,16
14,6
15,16
16,9
17,14
18,1
19,5
20,15
21,7
22,7
23,6
24,6
25,4
26,10
27,11
28,8
29,6
30,14
