Den,Počet
1,5
2,13
3,7
4,9
5,7
6,9
7,9
8,4
9,17
10,5
11,11
12,10
13,9
14,7
15,17
16,9
17,4
18,3
19,10
20,6
21,16
22,5
23,3
24,4
25,3
26,5
27,5
28,12
29,6
30,12
31,1
