Den,Počet
1,90
2,85
3,58
4,89
5,20
6,70
7,141
8,77
9,142
10,29
11,94
12,39
13,19
14,60
15,95
16,134
17,135
18,147
19,62
20,30
21,187
22,74
23,176
24,76
25,46
26,22
27,52
28,101
29,150
30,90
31,42
