Den,Počet
1,42
2,81
3,82
4,70
5,41
6,51
7,35
8,41
9,72
10,77
11,69
12,42
13,46
14,30
15,65
16,97
17,68
18,80
19,41
20,57
21,31
22,47
23,72
24,44
25,67
26,56
27,67
28,44
29,51
30,65
31,65
