Den,Počet
1,195
2,124
3,214
4,124
5,220
6,261
7,227
8,164
9,168
10,115
11,57
12,122
13,238
14,102
15,333
16,86
17,233
18,100
19,119
20,155
21,143
22,142
23,87
24,147
25,56
26,45
27,124
28,68
29,194
30,135
31,150
