Den,Počet
1,9
2,6
3,8
4,13
5,13
6,22
7,9
8,18
9,8
10,9
11,21
12,8
13,19
14,9
15,15
16,9
17,12
18,8
19,15
20,13
21,5
22,16
23,6
24,5
25,9
26,3
27,12
28,9
