Den,Počet
1,112
2,51
3,53
4,112
5,113
6,118
7,131
8,118
9,50
10,84
11,164
12,70
13,171
14,82
15,95
16,70
17,39
18,147
19,177
20,197
21,193
22,99
23,13
24,37
25,123
26,108
27,133
28,95
29,277
30,40
31,24
