,Den,Měsíc,Rok,Počet,Typ
0,1,11,2019,27,access
1,2,11,2019,17,access
2,3,11,2019,27,access
3,4,11,2019,49,access
4,5,11,2019,35,access
5,6,11,2019,49,access
6,7,11,2019,39,access
7,8,11,2019,35,access
8,9,11,2019,16,access
9,10,11,2019,21,access
10,11,11,2019,47,access
11,12,11,2019,35,access
12,13,11,2019,40,access
13,14,11,2019,30,access
14,15,11,2019,35,access
15,16,11,2019,18,access
16,17,11,2019,21,access
17,18,11,2019,68,access
18,19,11,2019,26,access
19,20,11,2019,38,access
20,21,11,2019,26,access
21,22,11,2019,28,access
22,23,11,2019,11,access
23,24,11,2019,27,access
24,25,11,2019,45,access
25,26,11,2019,34,access
26,27,11,2019,43,access
27,28,11,2019,18,access
28,29,11,2019,27,access
29,30,11,2019,15,access
