,Den,Měsíc,Rok,Počet,Typ
0,1,5,2019,21,access
1,2,5,2019,31,access
2,3,5,2019,43,access
3,4,5,2019,15,access
4,5,5,2019,34,access
5,6,5,2019,52,access
6,7,5,2019,16,access
7,8,5,2019,16,access
8,9,5,2019,22,access
9,10,5,2019,25,access
10,11,5,2019,19,access
11,12,5,2019,27,access
12,13,5,2019,46,access
13,14,5,2019,40,access
14,15,5,2019,44,access
15,16,5,2019,26,access
16,17,5,2019,23,access
17,18,5,2019,10,access
18,19,5,2019,17,access
19,20,5,2019,51,access
20,21,5,2019,26,access
21,22,5,2019,31,access
22,23,5,2019,19,access
23,24,5,2019,24,access
24,25,5,2019,11,access
25,26,5,2019,21,access
26,27,5,2019,40,access
27,28,5,2019,37,access
28,29,5,2019,41,access
29,30,5,2019,20,access
30,31,5,2019,31,access
