,Den,Měsíc,Rok,Počet,Typ
0,1,3,2019,12,search
1,2,3,2019,0,search
2,3,3,2019,0,search
3,4,3,2019,0,search
4,5,3,2019,0,search
5,6,3,2019,1,search
6,7,3,2019,0,search
7,8,3,2019,1,search
8,9,3,2019,0,search
9,10,3,2019,0,search
10,11,3,2019,2,search
11,12,3,2019,0,search
12,13,3,2019,0,search
13,14,3,2019,0,search
14,15,3,2019,0,search
15,16,3,2019,0,search
16,17,3,2019,0,search
17,18,3,2019,0,search
18,19,3,2019,0,search
19,20,3,2019,7,search
20,21,3,2019,0,search
21,22,3,2019,0,search
22,23,3,2019,0,search
23,24,3,2019,0,search
24,25,3,2019,0,search
25,26,3,2019,0,search
26,27,3,2019,4,search
27,28,3,2019,0,search
28,29,3,2019,9,search
29,30,3,2019,0,search
30,31,3,2019,0,search
