,Den,Měsíc,Rok,Počet,Typ
0,1,3,2019,51,access
1,2,3,2019,25,access
2,3,3,2019,30,access
3,4,3,2019,50,access
4,5,3,2019,38,access
5,6,3,2019,56,access
6,7,3,2019,36,access
7,8,3,2019,35,access
8,9,3,2019,29,access
9,10,3,2019,27,access
10,11,3,2019,54,access
11,12,3,2019,36,access
12,13,3,2019,45,access
13,14,3,2019,32,access
14,15,3,2019,47,access
15,16,3,2019,24,access
16,17,3,2019,19,access
17,18,3,2019,47,access
18,19,3,2019,44,access
19,20,3,2019,47,access
20,21,3,2019,39,access
21,22,3,2019,39,access
22,23,3,2019,13,access
23,24,3,2019,25,access
24,25,3,2019,53,access
25,26,3,2019,33,access
26,27,3,2019,63,access
27,28,3,2019,36,access
28,29,3,2019,39,access
29,30,3,2019,22,access
30,31,3,2019,22,access
