,Den,Měsíc,Rok,Počet,Typ
0,1,1,2019,30,access
1,2,1,2019,53,access
2,3,1,2019,28,access
3,4,1,2019,44,access
4,5,1,2019,22,access
5,6,1,2019,32,access
6,7,1,2019,61,access
7,8,1,2019,39,access
8,9,1,2019,48,access
9,10,1,2019,25,access
10,11,1,2019,44,access
11,12,1,2019,18,access
12,13,1,2019,28,access
13,14,1,2019,36,access
14,15,1,2019,42,access
15,16,1,2019,51,access
16,17,1,2019,32,access
17,18,1,2019,39,access
18,19,1,2019,15,access
19,20,1,2019,27,access
20,21,1,2019,39,access
21,22,1,2019,38,access
22,23,1,2019,38,access
23,24,1,2019,26,access
24,25,1,2019,51,access
25,26,1,2019,23,access
26,27,1,2019,27,access
27,28,1,2019,50,access
28,29,1,2019,33,access
29,30,1,2019,44,access
30,31,1,2019,30,access
