,Den,Měsíc,Rok,Počet,Typ
0,1,12,2019,0,search
1,2,12,2019,0,search
2,3,12,2019,0,search
3,4,12,2019,0,search
4,5,12,2019,0,search
5,6,12,2019,0,search
6,7,12,2019,0,search
7,8,12,2019,0,search
8,9,12,2019,0,search
9,10,12,2019,0,search
10,11,12,2019,0,search
11,12,12,2019,0,search
12,13,12,2019,0,search
13,14,12,2019,0,search
14,15,12,2019,0,search
15,16,12,2019,0,search
16,17,12,2019,0,search
17,18,12,2019,0,search
18,19,12,2019,0,search
19,20,12,2019,0,search
20,21,12,2019,0,search
21,22,12,2019,0,search
22,23,12,2019,0,search
23,24,12,2019,0,search
24,25,12,2019,0,search
25,26,12,2019,0,search
26,27,12,2019,5,search
27,28,12,2019,0,search
28,29,12,2019,0,search
29,30,12,2019,0,search
30,31,12,2019,0,search
