,Den,Měsíc,Rok,Počet,Typ
0,1,2,2019,9,login
1,2,2,2019,6,login
2,3,2,2019,8,login
3,4,2,2019,13,login
4,5,2,2019,13,login
5,6,2,2019,22,login
6,7,2,2019,9,login
7,8,2,2019,18,login
8,9,2,2019,8,login
9,10,2,2019,9,login
10,11,2,2019,21,login
11,12,2,2019,8,login
12,13,2,2019,19,login
13,14,2,2019,9,login
14,15,2,2019,15,login
15,16,2,2019,9,login
16,17,2,2019,12,login
17,18,2,2019,8,login
18,19,2,2019,15,login
19,20,2,2019,13,login
20,21,2,2019,5,login
21,22,2,2019,16,login
22,23,2,2019,6,login
23,24,2,2019,5,login
24,25,2,2019,9,login
25,26,2,2019,3,login
26,27,2,2019,12,login
27,28,2,2019,9,login
