,Den,Měsíc,Rok,Počet,Typ
0,1,7,2019,39,access
1,2,7,2019,28,access
2,3,7,2019,40,access
3,4,7,2019,21,access
4,5,7,2019,26,access
5,6,7,2019,20,access
6,7,7,2019,21,access
7,8,7,2019,58,access
8,9,7,2019,32,access
9,10,7,2019,42,access
10,11,7,2019,38,access
11,12,7,2019,44,access
12,13,7,2019,17,access
13,14,7,2019,22,access
14,15,7,2019,43,access
15,16,7,2019,21,access
16,17,7,2019,34,access
17,18,7,2019,26,access
18,19,7,2019,39,access
19,20,7,2019,20,access
20,21,7,2019,33,access
21,22,7,2019,41,access
22,23,7,2019,18,access
23,24,7,2019,30,access
24,25,7,2019,25,access
25,26,7,2019,40,access
26,27,7,2019,19,access
27,28,7,2019,20,access
28,29,7,2019,42,access
29,30,7,2019,29,access
30,31,7,2019,53,access
