,Den,Měsíc,Rok,Počet,Typ
0,1,8,2019,0,search
1,2,8,2019,0,search
2,3,8,2019,0,search
3,4,8,2019,0,search
4,5,8,2019,0,search
5,6,8,2019,0,search
6,7,8,2019,0,search
7,8,8,2019,0,search
8,9,8,2019,0,search
9,10,8,2019,0,search
10,11,8,2019,0,search
11,12,8,2019,0,search
12,13,8,2019,13,search
13,14,8,2019,0,search
14,15,8,2019,0,search
15,16,8,2019,0,search
16,17,8,2019,0,search
17,18,8,2019,2,search
18,19,8,2019,13,search
19,20,8,2019,0,search
20,21,8,2019,0,search
21,22,8,2019,0,search
22,23,8,2019,0,search
23,24,8,2019,0,search
24,25,8,2019,0,search
25,26,8,2019,2,search
26,27,8,2019,0,search
27,28,8,2019,0,search
28,29,8,2019,7,search
29,30,8,2019,14,search
30,31,8,2019,0,search
