,Den,Měsíc,Rok,Počet,Typ
0,1,4,2019,0,search
1,2,4,2019,0,search
2,3,4,2019,0,search
3,4,4,2019,2,search
4,5,4,2019,0,search
5,6,4,2019,0,search
6,7,4,2019,0,search
7,8,4,2019,0,search
8,9,4,2019,0,search
9,10,4,2019,0,search
10,11,4,2019,0,search
11,12,4,2019,0,search
12,13,4,2019,0,search
13,14,4,2019,0,search
14,15,4,2019,0,search
15,16,4,2019,8,search
16,17,4,2019,0,search
17,18,4,2019,0,search
18,19,4,2019,6,search
19,20,4,2019,0,search
20,21,4,2019,0,search
21,22,4,2019,0,search
22,23,4,2019,0,search
23,24,4,2019,0,search
24,25,4,2019,0,search
25,26,4,2019,0,search
26,27,4,2019,0,search
27,28,4,2019,0,search
28,29,4,2019,0,search
29,30,4,2019,0,search
