,Den,Měsíc,Rok,Počet,Typ
0,1,12,2019,16,access
1,2,12,2019,34,access
2,3,12,2019,23,access
3,4,12,2019,34,access
4,5,12,2019,24,access
5,6,12,2019,29,access
6,7,12,2019,15,access
7,8,12,2019,22,access
8,9,12,2019,42,access
9,10,12,2019,32,access
10,11,12,2019,36,access
11,12,12,2019,24,access
12,13,12,2019,36,access
13,14,12,2019,13,access
14,15,12,2019,25,access
15,16,12,2019,38,access
16,17,12,2019,21,access
17,18,12,2019,27,access
18,19,12,2019,20,access
19,20,12,2019,21,access
20,21,12,2019,9,access
21,22,12,2019,5,access
22,23,12,2019,9,access
23,24,12,2019,3,access
24,25,12,2019,7,access
25,26,12,2019,18,access
26,27,12,2019,13,access
27,28,12,2019,14,access
28,29,12,2019,11,access
29,30,12,2019,20,access
30,31,12,2019,8,access
