,Den,Měsíc,Rok,Počet,Typ
0,1,10,2019,41,access
1,2,10,2019,42,access
2,3,10,2019,26,access
3,4,10,2019,28,access
4,5,10,2019,16,access
5,6,10,2019,35,access
6,7,10,2019,47,access
7,8,10,2019,26,access
8,9,10,2019,38,access
9,10,10,2019,23,access
10,11,10,2019,29,access
11,12,10,2019,12,access
12,13,10,2019,16,access
13,14,10,2019,28,access
14,15,10,2019,26,access
15,16,10,2019,44,access
16,17,10,2019,24,access
17,18,10,2019,36,access
18,19,10,2019,29,access
19,20,10,2019,33,access
20,21,10,2019,38,access
21,22,10,2019,16,access
22,23,10,2019,37,access
23,24,10,2019,38,access
24,25,10,2019,36,access
25,26,10,2019,16,access
26,27,10,2019,16,access
27,28,10,2019,18,access
28,29,10,2019,31,access
29,30,10,2019,40,access
30,31,10,2019,30,access
