,Den,Měsíc,Rok,Počet,Typ
0,1,1,2019,0,search
1,2,1,2019,0,search
2,3,1,2019,0,search
3,4,1,2019,1,search
4,5,1,2019,0,search
5,6,1,2019,0,search
6,7,1,2019,0,search
7,8,1,2019,4,search
8,9,1,2019,4,search
9,10,1,2019,0,search
10,11,1,2019,12,search
11,12,1,2019,0,search
12,13,1,2019,0,search
13,14,1,2019,0,search
14,15,1,2019,1,search
15,16,1,2019,1,search
16,17,1,2019,0,search
17,18,1,2019,0,search
18,19,1,2019,0,search
19,20,1,2019,0,search
20,21,1,2019,0,search
21,22,1,2019,0,search
22,23,1,2019,0,search
23,24,1,2019,0,search
24,25,1,2019,33,search
25,26,1,2019,0,search
26,27,1,2019,0,search
27,28,1,2019,0,search
28,29,1,2019,0,search
29,30,1,2019,0,search
30,31,1,2019,0,search
