,Den,Měsíc,Rok,Počet,Typ
0,1,6,2019,15,access
1,2,6,2019,23,access
2,3,6,2019,35,access
3,4,6,2019,35,access
4,5,6,2019,34,access
5,6,6,2019,28,access
6,7,6,2019,37,access
7,8,6,2019,10,access
8,9,6,2019,17,access
9,10,6,2019,44,access
10,11,6,2019,35,access
11,12,6,2019,30,access
12,13,6,2019,18,access
13,14,6,2019,32,access
14,15,6,2019,16,access
15,16,6,2019,28,access
16,17,6,2019,35,access
17,18,6,2019,33,access
18,19,6,2019,39,access
19,20,6,2019,32,access
20,21,6,2019,45,access
21,22,6,2019,15,access
22,23,6,2019,20,access
23,24,6,2019,41,access
24,25,6,2019,20,access
25,26,6,2019,31,access
26,27,6,2019,29,access
27,28,6,2019,27,access
28,29,6,2019,13,access
29,30,6,2019,9,access
