,Den,Měsíc,Rok,Počet,Typ
0,1,2,2019,53,access
1,2,2,2019,18,access
2,3,2,2019,19,access
3,4,2,2019,44,access
4,5,2,2019,33,access
5,6,2,2019,40,access
6,7,2,2019,32,access
7,8,2,2019,43,access
8,9,2,2019,21,access
9,10,2,2019,33,access
10,11,2,2019,47,access
11,12,2,2019,35,access
12,13,2,2019,59,access
13,14,2,2019,39,access
14,15,2,2019,40,access
15,16,2,2019,20,access
16,17,2,2019,19,access
17,18,2,2019,39,access
18,19,2,2019,40,access
19,20,2,2019,39,access
20,21,2,2019,38,access
21,22,2,2019,51,access
22,23,2,2019,22,access
23,24,2,2019,23,access
24,25,2,2019,38,access
25,26,2,2019,18,access
26,27,2,2019,45,access
27,28,2,2019,22,access
