,Den,Měsíc,Rok,Počet,Typ
0,1,2,2019,0,search
1,2,2,2019,0,search
2,3,2,2019,0,search
3,4,2,2019,0,search
4,5,2,2019,0,search
5,6,2,2019,0,search
6,7,2,2019,0,search
7,8,2,2019,0,search
8,9,2,2019,0,search
9,10,2,2019,0,search
10,11,2,2019,0,search
11,12,2,2019,3,search
12,13,2,2019,1,search
13,14,2,2019,0,search
14,15,2,2019,5,search
15,16,2,2019,0,search
16,17,2,2019,0,search
17,18,2,2019,2,search
18,19,2,2019,0,search
19,20,2,2019,0,search
20,21,2,2019,0,search
21,22,2,2019,0,search
22,23,2,2019,0,search
23,24,2,2019,0,search
24,25,2,2019,0,search
25,26,2,2019,0,search
26,27,2,2019,9,search
27,28,2,2019,0,search
