,Den,Měsíc,Rok,Počet,Typ
0,1,9,2019,23,access
1,2,9,2019,45,access
2,3,9,2019,41,access
3,4,9,2019,25,access
4,5,9,2019,42,access
5,6,9,2019,56,access
6,7,9,2019,30,access
7,8,9,2019,27,access
8,9,9,2019,54,access
9,10,9,2019,36,access
10,11,9,2019,44,access
11,12,9,2019,23,access
12,13,9,2019,51,access
13,14,9,2019,17,access
14,15,9,2019,23,access
15,16,9,2019,43,access
16,17,9,2019,45,access
17,18,9,2019,40,access
18,19,9,2019,38,access
19,20,9,2019,39,access
20,21,9,2019,19,access
21,22,9,2019,24,access
22,23,9,2019,59,access
23,24,9,2019,27,access
24,25,9,2019,45,access
25,26,9,2019,32,access
26,27,9,2019,25,access
27,28,9,2019,21,access
28,29,9,2019,24,access
29,30,9,2019,31,access
