,Den,Měsíc,Rok,Počet,Typ
0,1,12,2019,2,login
1,2,12,2019,14,login
2,3,12,2019,11,login
3,4,12,2019,19,login
4,5,12,2019,8,login
5,6,12,2019,10,login
6,7,12,2019,5,login
7,8,12,2019,10,login
8,9,12,2019,7,login
9,10,12,2019,15,login
10,11,12,2019,13,login
11,12,12,2019,12,login
12,13,12,2019,10,login
13,14,12,2019,6,login
14,15,12,2019,14,login
15,16,12,2019,22,login
16,17,12,2019,11,login
17,18,12,2019,8,login
18,19,12,2019,7,login
19,20,12,2019,2,login
20,21,12,2019,7,login
21,22,12,2019,1,login
22,23,12,2019,2,login
23,24,12,2019,0,login
24,25,12,2019,2,login
25,26,12,2019,8,login
26,27,12,2019,7,login
27,28,12,2019,5,login
28,29,12,2019,3,login
29,30,12,2019,14,login
30,31,12,2019,1,login
