,Den,Měsíc,Rok,Počet,Typ
0,1,6,2019,0,search
1,2,6,2019,0,search
2,3,6,2019,0,search
3,4,6,2019,0,search
4,5,6,2019,0,search
5,6,6,2019,0,search
6,7,6,2019,0,search
7,8,6,2019,0,search
8,9,6,2019,0,search
9,10,6,2019,3,search
10,11,6,2019,0,search
11,12,6,2019,0,search
12,13,6,2019,0,search
13,14,6,2019,0,search
14,15,6,2019,0,search
15,16,6,2019,0,search
16,17,6,2019,6,search
17,18,6,2019,0,search
18,19,6,2019,1,search
19,20,6,2019,0,search
20,21,6,2019,0,search
21,22,6,2019,0,search
22,23,6,2019,0,search
23,24,6,2019,0,search
24,25,6,2019,0,search
25,26,6,2019,0,search
26,27,6,2019,0,search
27,28,6,2019,0,search
28,29,6,2019,0,search
29,30,6,2019,0,search
