,Den,Měsíc,Rok,Počet,Typ
0,1,10,2019,0,search
1,2,10,2019,0,search
2,3,10,2019,0,search
3,4,10,2019,0,search
4,5,10,2019,0,search
5,6,10,2019,0,search
6,7,10,2019,0,search
7,8,10,2019,0,search
8,9,10,2019,2,search
9,10,10,2019,0,search
10,11,10,2019,8,search
11,12,10,2019,0,search
12,13,10,2019,0,search
13,14,10,2019,2,search
14,15,10,2019,0,search
15,16,10,2019,0,search
16,17,10,2019,0,search
17,18,10,2019,3,search
18,19,10,2019,0,search
19,20,10,2019,0,search
20,21,10,2019,0,search
21,22,10,2019,0,search
22,23,10,2019,22,search
23,24,10,2019,0,search
24,25,10,2019,0,search
25,26,10,2019,0,search
26,27,10,2019,0,search
27,28,10,2019,0,search
28,29,10,2019,0,search
29,30,10,2019,3,search
30,31,10,2019,0,search
