,Den,Měsíc,Rok,Počet,Typ
0,1,11,2019,0,search
1,2,11,2019,0,search
2,3,11,2019,0,search
3,4,11,2019,0,search
4,5,11,2019,38,search
5,6,11,2019,0,search
6,7,11,2019,11,search
7,8,11,2019,0,search
8,9,11,2019,0,search
9,10,11,2019,0,search
10,11,11,2019,2,search
11,12,11,2019,0,search
12,13,11,2019,1,search
13,14,11,2019,0,search
14,15,11,2019,4,search
15,16,11,2019,0,search
16,17,11,2019,1,search
17,18,11,2019,0,search
18,19,11,2019,0,search
19,20,11,2019,0,search
20,21,11,2019,0,search
21,22,11,2019,0,search
22,23,11,2019,0,search
23,24,11,2019,0,search
24,25,11,2019,0,search
25,26,11,2019,0,search
26,27,11,2019,0,search
27,28,11,2019,0,search
28,29,11,2019,0,search
29,30,11,2019,0,search
