,Den,Měsíc,Rok,Počet,Typ
0,1,9,2019,0,search
1,2,9,2019,0,search
2,3,9,2019,0,search
3,4,9,2019,1,search
4,5,9,2019,0,search
5,6,9,2019,3,search
6,7,9,2019,0,search
7,8,9,2019,0,search
8,9,9,2019,0,search
9,10,9,2019,6,search
10,11,9,2019,0,search
11,12,9,2019,4,search
12,13,9,2019,6,search
13,14,9,2019,0,search
14,15,9,2019,0,search
15,16,9,2019,0,search
16,17,9,2019,0,search
17,18,9,2019,1,search
18,19,9,2019,0,search
19,20,9,2019,0,search
20,21,9,2019,0,search
21,22,9,2019,0,search
22,23,9,2019,0,search
23,24,9,2019,0,search
24,25,9,2019,20,search
25,26,9,2019,0,search
26,27,9,2019,0,search
27,28,9,2019,0,search
28,29,9,2019,0,search
29,30,9,2019,1,search
